bulan,tahun,jenis,kode_trayek,trayek,jumlah_penumpang
Januari,2019,BRT,1,KORIDOR 1,2223257
Maret,2019,BRT,1,KORIDOR 1,2334201
Februari,2019,BRT,1,KORIDOR 1,1992685
Januari,2019,BRT,2,KORIDOR 2,781605
Maret,2019,BRT,2,KORIDOR 2,792477
Februari,2019,BRT,2,KORIDOR 2,689898
Maret,2019,BRT,3,KORIDOR 3,969851
Januari,2019,BRT,3,KORIDOR 3,9192
Februari,2019,BRT,3,KORIDOR 3,849307
Februari,2019,BRT,4,KORIDOR 4,571404
Maret,2019,BRT,4,KORIDOR 4,719166
Januari,2019,BRT,4,KORIDOR 4,669417
Maret,2019,BRT,5,KORIDOR 5,899931
Februari,2019,BRT,5,KORIDOR 5,793867
Januari,2019,BRT,5,KORIDOR 5,890939
Januari,2019,BRT,6,KORIDOR 6,976411
Februari,2019,BRT,6,KORIDOR 6,878813
Maret,2019,BRT,6,KORIDOR 6,963201
Januari,2019,BRT,7,KORIDOR 7,872467
Maret,2019,BRT,7,KORIDOR 7,903702
Februari,2019,BRT,7,KORIDOR 7,778593
Januari,2019,BRT,8,KORIDOR 8,911731
Maret,2019,BRT,8,KORIDOR 8,982084
Februari,2019,BRT,8,KORIDOR 8,840084
Maret,2019,BRT,9,KORIDOR 9,1422880
Januari,2019,BRT,9,KORIDOR 9,1408962
Februari,2019,BRT,9,KORIDOR 9,1269564
Maret,2019,BRT,10,KORIDOR 10,754684
Februari,2019,BRT,10,KORIDOR 10,660344
Januari,2019,BRT,10,KORIDOR 10,737123
Januari,2019,BRT,11,KORIDOR 11,267869
Februari,2019,BRT,11,KORIDOR 11,233418
Maret,2019,BRT,11,KORIDOR 11,26524
Maret,2019,BRT,12,KORIDOR 12,217568
Februari,2019,BRT,12,KORIDOR 12,189321
Januari,2019,BRT,12,KORIDOR 12,208326
Januari,2019,BRT,13,KORIDOR 13,654831
Februari,2019,BRT,13,KORIDOR 13,594052
Maret,2019,BRT,13,KORIDOR 13,679171
Desember,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2686458
September,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2491625
April,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2207527
Juli,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2612456
Mei ,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2031443
Oktober,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2491625
Agustus,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2436733
November,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2533287
Juni,2019,BRT,1,KORIDOR 1 (BLOK M - KOTA),2042807
Mei ,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),751396
September,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),851844
Juni,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),680153
Agustus,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),821742
Oktober,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),851844
November,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),915165
Desember,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),872266
Juli,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),857285
April,2019,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),714008
Mei ,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1382629
Juli,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1551003
Juni,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1179321
September,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1505715
April,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1347706
Agustus,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1506442
Oktober,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1505715
November,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1620429
Desember,2019,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1562871
Juli,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),773992
September,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),783995
Oktober,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),783995
November,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),846227
April,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),660426
Agustus,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),754331
Juni,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),595283
Mei ,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),685745
Desember,2019,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),796166
Juni,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),877701
Agustus,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1074045
November,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1166396
Desember,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1140845
Oktober,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1107208
Juli,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1097511
September,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1107208
April,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),962541
Mei ,2019,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),976372
Juni,2019,BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),715613
